mode,fold_id,model,n_train,n_test,fit_predict_seconds,balanced_accuracy,accuracy,macro_f1,cohen_kappa
within_session,within_s6_1test_run5,CSP+linearSVM,86,22,0.09454710000136402,0.575,0.5909090909090909,0.5686274509803921,0.15384615384615385
within_session,within_s7_0train_run0,CSP+LDA,110,23,0.12360560000524856,0.821969696969697,0.8260869565217391,0.823076923076923,0.6488549618320612
within_session,within_s7_0train_run0,CSP+linearSVM,110,23,0.12419690001115669,0.821969696969697,0.8260869565217391,0.823076923076923,0.6488549618320612
within_session,within_s7_0train_run1,CSP+LDA,111,22,0.12270680000074208,0.8636363636363636,0.8636363636363636,0.8610526315789473,0.7272727272727273
within_session,within_s7_0train_run1,CSP+linearSVM,111,22,0.11842189999879338,0.9090909090909092,0.9090909090909091,0.9083333333333333,0.8181818181818181
within_session,within_s7_0train_run2,CSP+LDA,112,21,0.1327960000053281,0.8590909090909091,0.8571428571428571,0.8571428571428571,0.7149321266968326
within_session,within_s7_0train_run2,CSP+linearSVM,112,21,0.13227900001220405,0.759090909090909,0.7619047619047619,0.7597254004576659,0.5205479452054795
within_session,within_s7_0train_run3,CSP+LDA,112,21,0.12981980000040494,0.5772727272727273,0.5714285714285714,0.5675057208237986,0.15246636771300448
within_session,within_s7_0train_run3,CSP+linearSVM,112,21,0.13064330001361668,0.6727272727272727,0.6666666666666666,0.6636155606407322,0.34080717488789236
within_session,within_s7_0train_run4,CSP+LDA,111,22,0.16156379999301862,0.6818181818181819,0.6818181818181818,0.681159420289855,0.36363636363636365
within_session,within_s7_0train_run4,CSP+linearSVM,111,22,0.12462859999504872,0.6818181818181819,0.6818181818181818,0.681159420289855,0.36363636363636365
within_session,within_s7_0train_run5,CSP+LDA,109,24,0.11648650000279304,0.75,0.75,0.7482517482517483,0.5
within_session,within_s7_0train_run5,CSP+linearSVM,109,24,0.11643979999644216,0.75,0.75,0.7482517482517483,0.5
within_session,within_s7_1test_run0,CSP+LDA,116,24,0.1275614000041969,0.9583333333333333,0.9583333333333334,0.9582608695652174,0.9166666666666666
within_session,within_s7_1test_run0,CSP+linearSVM,116,24,0.12889150000410154,0.9583333333333333,0.9583333333333334,0.9582608695652174,0.9166666666666666
within_session,within_s7_1test_run1,CSP+LDA,116,24,0.13525680000020657,0.9583333333333333,0.9583333333333334,0.9582608695652174,0.9166666666666666
within_session,within_s7_1test_run1,CSP+linearSVM,116,24,0.13343050000548828,0.9583333333333333,0.9583333333333334,0.9582608695652174,0.9166666666666666
within_session,within_s7_1test_run2,CSP+LDA,116,24,0.13595699999132194,1.0,1.0,1.0,1.0
within_session,within_s7_1test_run2,CSP+linearSVM,116,24,0.12694980000378564,1.0,1.0,1.0,1.0
within_session,within_s7_1test_run3,CSP+LDA,119,21,0.13875840000400785,0.95,0.9523809523809523,0.9519450800915332,0.904109589041096
within_session,within_s7_1test_run3,CSP+linearSVM,119,21,0.13430330000119284,0.95,0.9523809523809523,0.9519450800915332,0.904109589041096
within_session,within_s7_1test_run4,CSP+LDA,117,23,0.158434800003306,0.9583333333333333,0.9565217391304348,0.9565217391304348,0.9132075471698113
within_session,within_s7_1test_run4,CSP+linearSVM,117,23,0.12934699999459554,0.9583333333333333,0.9565217391304348,0.9565217391304348,0.9132075471698113
within_session,within_s7_1test_run5,CSP+LDA,116,24,0.15216099999088328,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666667
within_session,within_s7_1test_run5,CSP+linearSVM,116,24,0.12838290000217967,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666667
within_session,within_s8_0train_run0,CSP+LDA,111,21,0.12186909999581985,1.0,1.0,1.0,1.0
within_session,within_s8_0train_run0,CSP+linearSVM,111,21,0.1250785000011092,1.0,1.0,1.0,1.0
within_session,within_s8_0train_run1,CSP+LDA,110,22,0.13145929999882355,1.0,1.0,1.0,1.0
within_session,within_s8_0train_run1,CSP+linearSVM,110,22,0.13008750000153668,1.0,1.0,1.0,1.0
within_session,within_s8_0train_run2,CSP+LDA,111,21,0.12101289999554865,1.0,1.0,1.0,1.0
within_session,within_s8_0train_run2,CSP+linearSVM,111,21,0.11882879999757279,1.0,1.0,1.0,1.0
within_session,within_s8_0train_run3,CSP+LDA,110,22,0.1177462000050582,0.9545454545454546,0.9545454545454546,0.9544513457556936,0.9090909090909091
