condition,subject,seed,dimension,stratum,n_trials,n_classes_present,balanced_accuracy_observed_classes,accuracy,recall_class_1,recall_class_2,recall_class_3,recall_class_4
Q9-E001/MU_8_13,1,20260926,artifact,False,554,4,0.5875904037163795,0.5884476534296029,0.8,0.5683453237410072,0.5182481751824818,0.463768115942029
Q9-E001/MU_8_13,1,20260926,artifact,True,22,4,0.48392857142857143,0.45454545454545453,0.75,0.4,0.2857142857142857,0.5
Q9-E001/MU_8_13,1,20260926,session,0train,288,4,0.5590277777777778,0.5590277777777778,0.7361111111111112,0.5138888888888888,0.4166666666666667,0.5694444444444444
Q9-E001/MU_8_13,1,20260926,session,1test,288,4,0.607638888888889,0.6076388888888888,0.8611111111111112,0.6111111111111112,0.5972222222222222,0.3611111111111111
Q9-E001/MU_8_13,2,20260924,artifact,False,553,4,0.3260697032436163,0.325497287522604,0.6884057971014492,0.3142857142857143,0.24444444444444444,0.05714285714285714
Q9-E001/MU_8_13,2,20260924,artifact,True,23,4,0.4097222222222222,0.4782608695652174,0.8333333333333334,0.25,0.5555555555555556,0.0
Q9-E001/MU_8_13,2,20260924,session,0train,288,4,0.3263888888888889,0.3263888888888889,0.6944444444444444,0.2916666666666667,0.2638888888888889,0.05555555555555555
Q9-E001/MU_8_13,2,20260924,session,1test,288,4,0.3368055555555555,0.3368055555555556,0.6944444444444444,0.3333333333333333,0.2638888888888889,0.05555555555555555
Q9-E001/MU_8_13,2,20260925,artifact,False,553,4,0.3057568438003221,0.3037974683544304,0.7971014492753623,0.09285714285714286,0.32592592592592595,0.007142857142857143
Q9-E001/MU_8_13,2,20260925,artifact,True,23,4,0.3541666666666667,0.391304347826087,0.8333333333333334,0.25,0.3333333333333333,0.0
Q9-E001/MU_8_13,2,20260925,session,0train,288,4,0.3055555555555556,0.3055555555555556,0.8055555555555556,0.08333333333333333,0.3333333333333333,0.0
Q9-E001/MU_8_13,2,20260925,session,1test,288,4,0.30902777777777773,0.3090277777777778,0.7916666666666666,0.1111111111111111,0.3194444444444444,0.013888888888888888
Q9-E001/MU_8_13,2,20260926,artifact,False,553,4,0.2768633540372671,0.2766726943942134,0.855072463768116,0.17142857142857143,0.06666666666666667,0.014285714285714285
Q9-E001/MU_8_13,2,20260926,artifact,True,23,4,0.2986111111111111,0.30434782608695654,0.8333333333333334,0.25,0.1111111111111111,0.0
Q9-E001/MU_8_13,2,20260926,session,0train,288,4,0.27083333333333337,0.2708333333333333,0.8611111111111112,0.1388888888888889,0.05555555555555555,0.027777777777777776
Q9-E001/MU_8_13,2,20260926,session,1test,288,4,0.2847222222222222,0.2847222222222222,0.8472222222222222,0.20833333333333334,0.08333333333333333,0.0
Q9-E001/MU_8_13,3,20260924,artifact,False,543,4,0.6275829929635709,0.6261510128913443,0.7352941176470589,0.3695652173913043,0.7388059701492538,0.6666666666666666
Q9-E001/MU_8_13,3,20260924,artifact,True,33,4,0.5145833333333333,0.5151515151515151,0.625,0.5,0.6,0.3333333333333333
Q9-E001/MU_8_13,3,20260924,session,0train,288,4,0.625,0.625,0.8055555555555556,0.375,0.7361111111111112,0.5833333333333334
Q9-E001/MU_8_13,3,20260924,session,1test,288,4,0.6145833333333334,0.6145833333333334,0.6527777777777778,0.375,0.7222222222222222,0.7083333333333334
Q9-E001/MU_8_13,3,20260925,artifact,False,543,4,0.624888301812902,0.6243093922651933,0.6544117647058824,0.5507246376811594,0.746268656716418,0.5481481481481482
