fold,subject,model,stratum,true_label,predicted_label,count
loso_s3,3,BroadCSP_LDA,flagged,3,4,1
loso_s3,3,BroadCSP_LDA,flagged,4,1,5
loso_s3,3,BroadCSP_LDA,flagged,4,2,0
loso_s3,3,BroadCSP_LDA,flagged,4,3,2
loso_s3,3,BroadCSP_LDA,flagged,4,4,2
loso_s3,3,BroadCSP_SVM,all,1,1,138
loso_s3,3,BroadCSP_SVM,all,1,2,0
loso_s3,3,BroadCSP_SVM,all,1,3,6
loso_s3,3,BroadCSP_SVM,all,1,4,0
loso_s3,3,BroadCSP_SVM,all,2,1,61
loso_s3,3,BroadCSP_SVM,all,2,2,55
loso_s3,3,BroadCSP_SVM,all,2,3,15
loso_s3,3,BroadCSP_SVM,all,2,4,13
loso_s3,3,BroadCSP_SVM,all,3,1,48
loso_s3,3,BroadCSP_SVM,all,3,2,0
loso_s3,3,BroadCSP_SVM,all,3,3,88
loso_s3,3,BroadCSP_SVM,all,3,4,8
loso_s3,3,BroadCSP_SVM,all,4,1,82
loso_s3,3,BroadCSP_SVM,all,4,2,1
loso_s3,3,BroadCSP_SVM,all,4,3,34
loso_s3,3,BroadCSP_SVM,all,4,4,27
loso_s3,3,BroadCSP_SVM,unflagged,1,1,131
loso_s3,3,BroadCSP_SVM,unflagged,1,2,0
loso_s3,3,BroadCSP_SVM,unflagged,1,3,5
loso_s3,3,BroadCSP_SVM,unflagged,1,4,0
loso_s3,3,BroadCSP_SVM,unflagged,2,1,59
loso_s3,3,BroadCSP_SVM,unflagged,2,2,53
loso_s3,3,BroadCSP_SVM,unflagged,2,3,14
loso_s3,3,BroadCSP_SVM,unflagged,2,4,12
loso_s3,3,BroadCSP_SVM,unflagged,3,1,44
loso_s3,3,BroadCSP_SVM,unflagged,3,2,0
loso_s3,3,BroadCSP_SVM,unflagged,3,3,83
loso_s3,3,BroadCSP_SVM,unflagged,3,4,7
loso_s3,3,BroadCSP_SVM,unflagged,4,1,76
loso_s3,3,BroadCSP_SVM,unflagged,4,2,1
loso_s3,3,BroadCSP_SVM,unflagged,4,3,32
loso_s3,3,BroadCSP_SVM,unflagged,4,4,26
loso_s3,3,BroadCSP_SVM,flagged,1,1,7
loso_s3,3,BroadCSP_SVM,flagged,1,2,0
loso_s3,3,BroadCSP_SVM,flagged,1,3,1
loso_s3,3,BroadCSP_SVM,flagged,1,4,0
loso_s3,3,BroadCSP_SVM,flagged,2,1,2
loso_s3,3,BroadCSP_SVM,flagged,2,2,2
loso_s3,3,BroadCSP_SVM,flagged,2,3,1
loso_s3,3,BroadCSP_SVM,flagged,2,4,1
loso_s3,3,BroadCSP_SVM,flagged,3,1,4
loso_s3,3,BroadCSP_SVM,flagged,3,2,0
loso_s3,3,BroadCSP_SVM,flagged,3,3,5
