fold,subject,stage,inner_fold,seed,selected_epochs,selection_rule,epoch,train_ce,val_ce
loso_s6,6,full,,20260926,15,mean_rank,2,1.3146629532178242,
loso_s6,6,full,,20260926,15,mean_rank,3,1.2158691320154402,
loso_s6,6,full,,20260926,15,mean_rank,4,1.1585424004329576,
loso_s6,6,full,,20260926,15,mean_rank,5,1.1138834771182802,
loso_s6,6,full,,20260926,15,mean_rank,6,1.0825251175297632,
loso_s6,6,full,,20260926,15,mean_rank,7,1.0539121304949124,
loso_s6,6,full,,20260926,15,mean_rank,8,1.0549057780040636,
loso_s6,6,full,,20260926,15,mean_rank,9,1.0381414741277697,
loso_s6,6,full,,20260926,15,mean_rank,10,1.0276452385716968,
loso_s6,6,full,,20260926,15,mean_rank,11,1.0228569813900523,
loso_s6,6,full,,20260926,15,mean_rank,12,1.008612675799264,
loso_s6,6,full,,20260926,15,mean_rank,13,1.0027064291967287,
loso_s6,6,full,,20260926,15,mean_rank,14,0.9921639735500016,
loso_s6,6,full,,20260926,15,mean_rank,15,0.988325409591198,
loso_s7,7,full,,20260924,16,mean_rank,1,1.37200361986955,
loso_s7,7,full,,20260924,16,mean_rank,2,1.325706763399972,
loso_s7,7,full,,20260924,16,mean_rank,3,1.260741573241022,
loso_s7,7,full,,20260924,16,mean_rank,4,1.1969474885198803,
loso_s7,7,full,,20260924,16,mean_rank,5,1.1609561973147922,
loso_s7,7,full,,20260924,16,mean_rank,6,1.1336631783180766,
loso_s7,7,full,,20260924,16,mean_rank,7,1.097685097820229,
loso_s7,7,full,,20260924,16,mean_rank,8,1.0811721492144797,
loso_s7,7,full,,20260924,16,mean_rank,9,1.086797064377202,
loso_s7,7,full,,20260924,16,mean_rank,10,1.0683826870388455,
loso_s7,7,full,,20260924,16,mean_rank,11,1.0558834912048445,
loso_s7,7,full,,20260924,16,mean_rank,12,1.050903919670317,
loso_s7,7,full,,20260924,16,mean_rank,13,1.0271126884553168,
loso_s7,7,full,,20260924,16,mean_rank,14,1.0433237651983898,
loso_s7,7,full,,20260924,16,mean_rank,15,1.026700264049901,
loso_s7,7,full,,20260924,16,mean_rank,16,1.0105686601665285,
loso_s7,7,full,,20260925,16,mean_rank,1,1.3783164471387863,
loso_s7,7,full,,20260925,16,mean_rank,2,1.3251371797588136,
loso_s7,7,full,,20260925,16,mean_rank,3,1.2599872764613893,
loso_s7,7,full,,20260925,16,mean_rank,4,1.1944377422332764,
loso_s7,7,full,,20260925,16,mean_rank,5,1.16826590978437,
loso_s7,7,full,,20260925,16,mean_rank,6,1.1549138724803925,
loso_s7,7,full,,20260925,16,mean_rank,7,1.1354563766055636,
loso_s7,7,full,,20260925,16,mean_rank,8,1.1186246300737064,
loso_s7,7,full,,20260925,16,mean_rank,9,1.0974727041191523,
loso_s7,7,full,,20260925,16,mean_rank,10,1.0850364714860916,
loso_s7,7,full,,20260925,16,mean_rank,11,1.050662685599592,
loso_s7,7,full,,20260925,16,mean_rank,12,1.0505083435111575,
loso_s7,7,full,,20260925,16,mean_rank,13,1.0569736046923532,
loso_s7,7,full,,20260925,16,mean_rank,14,1.0306578849752743,
loso_s7,7,full,,20260925,16,mean_rank,15,1.0269743824998538,
loso_s7,7,full,,20260925,16,mean_rank,16,1.026376947760582,
loso_s7,7,full,,20260926,16,mean_rank,1,1.376542102959421,
loso_s7,7,full,,20260926,16,mean_rank,2,1.3249320255385504,
loso_s7,7,full,,20260926,16,mean_rank,3,1.2344501581456926,
loso_s7,7,full,,20260926,16,mean_rank,4,1.1826572550667658,
loso_s7,7,full,,20260926,16,mean_rank,5,1.1468972580300436,
loso_s7,7,full,,20260926,16,mean_rank,6,1.1190906531280942,
loso_s7,7,full,,20260926,16,mean_rank,7,1.091496751540237,
loso_s7,7,full,,20260926,16,mean_rank,8,1.075631762544314,
loso_s7,7,full,,20260926,16,mean_rank,9,1.058598833779494,
loso_s7,7,full,,20260926,16,mean_rank,10,1.050613597035408,
loso_s7,7,full,,20260926,16,mean_rank,11,1.037829692165057,
loso_s7,7,full,,20260926,16,mean_rank,12,1.0209694794482655,
loso_s7,7,full,,20260926,16,mean_rank,13,1.0225795209407806,
loso_s7,7,full,,20260926,16,mean_rank,14,1.009679191642337,
loso_s7,7,full,,20260926,16,mean_rank,15,1.019987725549274,
loso_s7,7,full,,20260926,16,mean_rank,16,0.9963334326942762,
loso_s8,8,full,,20260924,23,mean_rank,1,1.3771005653672748,
loso_s8,8,full,,20260924,23,mean_rank,2,1.3373718443844054,
loso_s8,8,full,,20260924,23,mean_rank,3,1.3017173757155736,
loso_s8,8,full,,20260924,23,mean_rank,4,1.2643473148345947,
loso_s8,8,full,,20260924,23,mean_rank,5,1.2354045791758432,
loso_s8,8,full,,20260924,23,mean_rank,6,1.2177085909578536,
loso_s8,8,full,,20260924,23,mean_rank,7,1.1897482226292293,
loso_s8,8,full,,20260924,23,mean_rank,8,1.1681920223765905,
loso_s8,8,full,,20260924,23,mean_rank,9,1.1656195786264207,
loso_s8,8,full,,20260924,23,mean_rank,10,1.1535913919409115,
loso_s8,8,full,,20260924,23,mean_rank,11,1.126747764647007,
loso_s8,8,full,,20260924,23,mean_rank,12,1.126448364721404,
loso_s8,8,full,,20260924,23,mean_rank,13,1.0968298878934648,
loso_s8,8,full,,20260924,23,mean_rank,14,1.1040230583813455,
loso_s8,8,full,,20260924,23,mean_rank,15,1.0928940143850114,
loso_s8,8,full,,20260924,23,mean_rank,16,1.0838578525516722,
loso_s8,8,full,,20260924,23,mean_rank,17,1.0724909355243046,
loso_s8,8,full,,20260924,23,mean_rank,18,1.0721494638257556,
loso_s8,8,full,,20260924,23,mean_rank,19,1.0636742644839816,
loso_s8,8,full,,20260924,23,mean_rank,20,1.061386139028602,
loso_s8,8,full,,20260924,23,mean_rank,21,1.0569992487629254,
loso_s8,8,full,,20260924,23,mean_rank,22,1.0462635043594573,
loso_s8,8,full,,20260924,23,mean_rank,23,1.04490198691686,
loso_s8,8,full,,20260925,23,mean_rank,1,1.3799166464143329,
loso_s8,8,full,,20260925,23,mean_rank,2,1.3350766632292006,
loso_s8,8,full,,20260925,23,mean_rank,3,1.2871857070260575,
